#"Camera Name","NVR","Location","IP Address","Recording","Has Video","Total Video","Missing Video"
"Скл2 проезд от бл1_IME3122-ADGA602","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.175","Yes","Yes","48 days, 15:48","00:00:28.266"
"Скл2 проезд от бл3_IM10LW10-1-ADBKHX4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.36","Yes","Yes","48 days, 15:48","00:00:29.323"
"Скл2 проезд скл2-скл3 (вход в АБК2)_IM10LW10-1-ADBKHT0","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.142","Yes","Yes","None","No"
"Скл2 проезд центр к бл3_IM10LW10-1-ADGK525","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.178","Yes","Yes","48 days, 15:38","00:09:12.525"
"Скл2_01-1_IM10LW10-1-ADGK476","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.68","Yes","Yes","48 days, 15:49","00:00:26.158"
"Скл2_01-2_IM10LW10-1-ADGCBV5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.67","Yes","Yes","43 days, 23:35","00:08:03.582"
"Скл2_01-3_IM10LW10-1-ADBV780","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.92","Yes","Yes","48 days, 15:49","00:00:26.991"
"Скл2_01-4_IM10LW10-1-ADGCCB8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.66","Yes","Yes","43 days, 23:42","00:06:15.533"
"Скл2_02-1_IM10LW10-1-ADGCC55","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.255","No","No","None","No"
"Скл2_02-2_IM10LW10-1-ADGK472","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.70","No","No","2 days, 18:13","No"
"Скл2_02-3_IM10DN10-1E-ADCWJK8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.194","No","No","2 days, 18:24","No"
"Скл2_02-4_IM10LW10-1-ADGCBW6","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.69","No","No","2 days, 18:34","No"
"Скл2_03-1_IM10LW10-1-ADGK597","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.198","Yes","Yes","48 days, 15:48","00:00:27.989"
"Скл2_03-2_IM10LW10-1-ADBKHY7","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.66","Yes","Yes","48 days, 15:49","00:00:28.990"
"Скл2_03-3_IM10DN10-1E-ADCVXY9","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.127","Yes","Yes","43 days, 23:42","00:00:59.483"
"Скл2_03-4_IM10LW10-1-ADGK590","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.71","Yes","Yes","48 days, 15:41","00:08:37.480"
"Скл2_04-1_IM10LW10-1-ADARLM9","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.144","Yes","Yes","48 days, 15:48","00:00:26.824"
"Скл2_04-2_IM10LW10-1-ADBKHR0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.155","Yes","Yes","48 days, 15:50","00:00:28.823"
"Скл2_04-3_IM10DN10-1E-ADBJFE5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.97","Yes","Yes","43 days, 23:40","00:00:21.118"
"Скл2_04-4_IM10LW10-1-ADGK631","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.56","Yes","Yes","48 days, 15:47","00:00:27.657"
"Скл2_05-1_IM10LW10-1-ADGCC58","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.55","Yes","Yes","48 days, 15:46","00:00:27.657"
"Скл2_05-2_IM10LW10-1-ADBV692","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.60","Yes","Yes","48 days, 15:47","00:00:27.657"
"Скл2_05-3_IM10DN10-1E-ADCWJJ2","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.163","Yes","Yes","48 days, 15:49","00:00:27.492"
"Скл2_05-4_IM10LW10-1-ADGK565","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.254","Yes","Yes","48 days, 15:49","00:00:31.655"
"Скл2_06-2_IM10LW10-1-ADBV769","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.64","No","No","None","No"
"Скл2_06-3_IM10DN10-1E-ADCWJE4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.124","No","No","None","No"
"Скл2_07-1_IM10LW10-1-ADGCCE5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.251","Yes","Yes","48 days, 15:49","00:01:22.553"
"Скл2_07-2_IM10LW10-1-ADBKHX8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.68","Yes","Yes","43 days, 23:43","No"
"Скл2_07-3_IM10DN10-1E-ADCWJK0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.166","Yes","Yes","48 days, 15:49","00:00:27.289"
"Скл2_07-4_IM10LW10-1-ADGCBV1","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.250","Yes","Yes","43 days, 23:41","00:06:36.613"
"Скл2_08-1_IM10LW10-1-ADGCCD4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.249","Yes","Yes","43 days, 23:41","00:01:46.793"
"Скл2_08-2_IM10LW10-1-ADBXFG6","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.67","Yes","Yes","48 days, 15:47","00:00:30.323"
"Скл2_08-3_IM10DN10-1E-ADCVY45","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.162","Yes","Yes","48 days, 15:50","00:00:28.742"
"Скл2_08-4_IM10LW10-1-ADGCCL0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.248","Yes","Yes","48 days, 15:49","00:00:29.405"
"Скл2_09-2_IM10LW10-1-ADBZLU7","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.63","No","No","167 days, 18:39","No"
"Скл2_09-3_IM10DN10-1E-ADBJFQ4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.99","No","No","None","No"
"Скл2_09-4_IM10LW10-1-ADGCBV0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.4","Yes","Yes","43 days, 23:39","No"
"Скл2_10-1_IM10LW10-1-ADGCBZ7","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.5","Yes","Yes","48 days, 15:49","00:00:28.990"
"Скл2_10-1_IM10LW10-1-ADGCCB6","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.6","No","No","None","No"
"Скл2_10-2_IM10LW10-1-ADBKHT3","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.61","Yes","Yes","48 days, 15:47","00:00:27.323"
"Скл2_10-3_IM10DN10-1E-ADCWJG9","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.75","Yes","Yes","43 days, 23:43","00:00:35.823"
"Скл2_10-4_IM10LW10-1-ADGK712","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.72","Yes","Yes","48 days, 15:47","00:00:30.656"
"Скл2_11-1_IM10LW10-1-ADBV750","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.201","Yes","Yes","48 days, 15:47","00:00:27.990"
"Скл2_11-1_IM10LW10-1-ADGCBV9","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.3","No","No","None","No"
"Скл2_11-2_IM10LW10-1-ADBV709","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.62","Yes","Yes","48 days, 15:48","00:00:27.157"
"Скл2_11-3_IM10DN10-1E-ADCVXW3","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.165","Yes","Yes","48 days, 15:50","00:00:24.368"
"Скл2_11-4_IM10LW10-1-ADGK690","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.73","Yes","Yes","48 days, 15:48","00:01:23.636"
"Скл2_12-3_IM10DN10-1E-ADBJFQ2","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.86","No","No","None","No"
"Скл2_12-4_IM10LW10-1-ADGCC88","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.247","Yes","Yes","48 days, 15:47","00:01:51.292"
"Скл2_13-1_IM10LW10-1-ADGCCG8","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.246","Yes","Yes","43 days, 23:45","00:05:23.718"
"Скл2_13-2_IM10LW10-1-ADBV767","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.59","Yes","Yes","48 days, 15:49","00:00:23.824"
"Скл2_13-3_IM10DN10-1E-ADCVXZ6","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.92","Yes","Yes","48 days, 15:48","00:00:27.07"
"Скл2_13-4_IM10LW10-1-ADGCC39","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.245","Yes","Yes","48 days, 15:49","00:00:57.313"
"Скл2_14-1_IM10LW10-1-ADGCC91","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.244","Yes","Yes","43 days, 23:40","00:00:54.980"
"Скл2_14-2_IM10LW10-1-ADBV704","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.178","Yes","Yes","48 days, 15:46","00:02:13.782"
"Скл2_14-3_IM10DN10-1E-ADAJWP3","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.101","Yes","Yes","48 days, 15:47","00:01:45.969"
"Скл2_14-4_IMP121-1IS-T71202933","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.92","Yes","Yes","None","No"
"Скл2_15-1_IM10LW10-1-ADGK459","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.242","Yes","Yes","48 days, 15:46","00:00:27.324"
"Скл2_15-3_IM10DN10-1E-ADD0516","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.161","Yes","Yes","48 days, 15:48","00:02:17.586"
"Скл2_15-4_IM10LW10-1-ADGCCA0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.241","Yes","Yes","43 days, 23:39","No"
"Скл2_16-1_IM10LW10-1-ADGK548","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.78","Yes","Yes","48 days, 15:47","00:00:27.324"
"Скл2_16-2_IM10LW10-1-ADBKHS3","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.157","Yes","Yes","48 days, 15:46","00:00:27.323"
"Скл2_16-3_IM10DN10-1E-ADCWJF0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.102","Yes","Yes","43 days, 23:41","No"
"Скл2_16-4_IM10LW10-1-ADGCC79","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.240","Yes","Yes","48 days, 15:49","00:00:59.477"
"Скл2_17-1_IM10LW10-1-ADGCBV3","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.239","Yes","Yes","48 days, 15:46","00:00:27.657"
"Скл2_17-2_IM10LW10-1-ADBV728","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.175","Yes","Yes","48 days, 15:49","00:00:27.324"
"Скл2_17-3_IM10DN10-1E-ADCVY26","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.145","Yes","Yes","43 days, 23:41","No"
"Скл2_17-4_IM10LW10-1-ADGCCJ5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.146","Yes","Yes","43 days, 23:41","No"
"Скл2_18-1_IM10LW10-1-ADGCCB4","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.236","Yes","Yes","10 days, 18:07","No"
"Скл2_18-2_IM10LW10-1-ADGK528","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.76","Yes","Yes","43 days, 23:40","No"
"Скл2_18-3_IM10DN10-1E-ADCVXY0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.98","Yes","Yes","43 days, 23:47","00:03:28.819"
"Скл2_18-4_IM10LW10-1-ADGCCD1","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.237","Yes","Yes","48 days, 15:49","00:00:28.990"
"Скл2_19-1_IM10LW10-1-ADGCCD0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.235","Yes","Yes","48 days, 15:50","00:00:26.658"
"Скл2_19-2_IM10DN10-1E-ADCQFU6","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.174","Yes","Yes","10 days, 18:07","No"
"Скл2_19-3_IM10DN10-1E-ADCVXX1","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.143","Yes","Yes","48 days, 15:48","00:01:22.850"
"Скл2_20-1_IM10LW10-1-ADGK487","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.234","Yes","Yes","48 days, 15:49","00:00:31.322"
"Скл2_20-2_IM10DN10-1E-ADCVXY5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.192","Yes","Yes","43 days, 23:41","00:00:22.243"
"Скл2_20-3_IM10DN10-1E-ADD0525","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.153","Yes","Yes","43 days, 23:47","00:03:38.440"
"Скл2_21-1_IM10LW10-1-ADGCC10","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.233","Yes","Yes","48 days, 15:47","00:00:26.490"
"Скл2_21-2_IM10DN10-1E-ADCVXY6","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.191","Yes","Yes","48 days, 15:50","00:00:28.117"
"Скл2_21-3_IM10DN10-1E-ADBJFN5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.90","Yes","Yes","43 days, 23:43","No"
"Скл2_22-1_IM10LW10-1-ADGCCM5","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.39","Yes","Yes","43 days, 23:39","00:01:47.126"
"Скл2_22-1_IM10LW10-1-ADGK516","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.232","No","No","None","No"
"Скл2_22-2_IM10DN10-1E-ADD0517","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.190","Yes","Yes","43 days, 23:45","00:05:21.247"
"Скл2_22-3_IM10DN10-1E-ADCVY25","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.159","Yes","Yes","43 days, 23:42","No"
"Скл2_23-1_IM10LW10-1-ADGK498","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.79","Yes","Yes","48 days, 15:50","00:00:27.124"
"Скл2_23-2_IM10DN10-1E-ADCVXW7","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.156","Yes","Yes","48 days, 15:50","00:00:26.617"
"Скл2_23-3_IM10DN10-1E-ADCVY18(заложена_стеллажамии)","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/IT_Сервис","172.16.61.208","Yes","Yes","48 days, 15:48","00:00:28.340"
"Скл2_проезд центр к бл1-IMP1110-1-T71208260","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.176","Yes","Yes","None","No"
"Скл2_р01_IME3122-ADGA631","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.166","Yes","Yes","43 days, 23:41","No"
"Скл2_р02-03_IME3122-ADHCE45","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.134","Yes","Yes","48 days, 14:56","00:53:48.118"
"Скл2_р04-05_IME3122-ADHCE37","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.133","Yes","Yes","48 days, 15:48","00:00:27.467"
"Скл2_р06-07_IME3122-ADGA644","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.132","Yes","Yes","43 days, 23:44","00:05:33.378"
"Скл2_р08-09_IME3122-ADHCE90","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.130","Yes","Yes","48 days, 15:49","00:01:21.997"
"Скл2_р10-11_IME3122-ADEXQF0","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.135","Yes","Yes","43 days, 22:47","00:53:42.579"
"Скл2_р52-Стена_IME3122-ADGA596","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.131","No","No","10 days, 17:58","00:00:27.00"
"Скл2_р55-56_IME3122-ADGA612","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.129","No","No","6 days, 02:03","00:08:07.780"
"Скл2_р57-58_IME3122-ADHCE28","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.128","Yes","Yes","48 days, 15:48","00:01:17.329"
"Скл2_р59-60_IME3122-ADHCE82","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.127","Yes","Yes","48 days, 15:49","00:00:27.268"
"Скл2_р61-62_IME3122-ADEXQG1","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.126","Yes","Yes","48 days, 15:49","00:00:26.865"
"Скл2_р63-64_IME3122-ADHCE74","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.60.197","Yes","Yes","48 days, 15:49","00:00:28.932"
"Скл2_р65-66_IME3122-ADHCE84","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.124","Yes","Yes","43 days, 23:43","00:05:26.581"
"Скл2_р67-68_IME3122-ADHCE24","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.123","Yes","Yes","43 days, 23:42","No"
"Скл2_р69-70_IME3122-ADHCE88","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.122","Yes","Yes","48 days, 15:50","00:00:27.462"
"Скл2_р71-72_IME3122-ADGA627","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.121","Yes","Yes","48 days, 15:48","00:00:26.865"
"Скл2_р73-74_IME3122-ADGA629","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.120","Yes","Yes","48 days, 15:49","00:00:25.999"
"Скл2_р75-76_IME3122-ADHCE81","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.119","Yes","Yes","48 days, 15:48","00:00:29.267"
"Скл2_р77-78_IME3122-ADGA645","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.169","Yes","Yes","43 days, 23:42","No"
"Скл2_р79-80_IME3122-ADHCE62","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.118","Yes","Yes","43 days, 23:41","No"
"Скл2_р81-82_IME3122-ADGA604","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.62.117","Yes","Yes","43 days, 23:43","No"
"Скл2_р83-84_IME3122-ADHCE71","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.67","Yes","Yes","48 days, 15:49","00:00:27.801"
"Скл2_р85_стена_IMP121-1IS-T71202932","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.109","Yes","Yes","None","No"
"Скл2_ст1 (2042_2044)_IM10DN10-1E-ADCWJE7","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.190","Yes","Yes","48 days, 15:49","00:00:27.742"
"Скл2_ст2 (2035_2037)_IM10DN10-1E-ADCWJG6","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.61.21","Yes","Yes","48 days, 15:50","00:00:26.00"
"Скл2_ст3 (2028_2030)_IM10LW10-1-ADGCC50","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.188","No","No","None","No"
"Скл2_ст4 (2021_2023)_IM10LW10-1-ADGK584","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.187","No","No","None","No"
"Скл2_ст5 (2014_2016)_IM10LW10-1-ADGK651","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.186","Yes","Yes","48 days, 15:50","00:00:26.491"
"Скл2_ст6 (2007_2009)_IM10LW10-1-ADGK473","OCS_ADMIRAL NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 2","172.16.63.185","Yes","Yes","43 days, 23:39","No"
"Скл3 (тыл) от бл4_IM10LW10-1-ADGCC80","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.216","Yes","Yes","19 days, 23:08","No"
"Скл3 (тыл) пристройка_IM10LW10-1-ADGCBV7","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.230","Yes","Yes","42 days, 14:54","No"
"Скл3 (тыл) центр на бл2_IM10LW10-1-ADGK501","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.225","Yes","Yes","19 days, 23:08","No"
"Скл3 (тыл) центр на бл4_IM10LW10-1-ADGK546","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.226","Yes","Yes","10 days, 17:58","No"
"Скл3 выход_IM10LW10-1-ADBZLT9","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.61.30","Yes","Yes","None","No"
"Скл3 лестница на мез у бл4_IM10LW10-1-ADGK705","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.202","Yes","Yes","None","No"
"Скл3 подмез от АБК2_IME3122-ADHCE60","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.184","Yes","Yes","42 days, 14:55","No"
"Скл3 подмез приёмка 31 вор_IM10LW10-1-ADBV700","OCS3_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.63.49","Yes","Yes","None","No"
"Скл3 подмез приёмка_IMP519-1-T32403504","OCS_BIG NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.79","No","No","None","No"
"Скл3 подмез стелаж за СЦ Ленм_IM10LW10-1-ADGCCE7","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.0","Yes","Yes","42 days, 14:53","No"
"Скл3 подмез стелаж за СЦ Ленм_IM10LW10-1-ADGK521","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.95","Yes","Yes","19 days, 23:08","No"
"Скл3 подмез столбы от приемки_IME3122-AEDUWL5","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.87","Yes","Yes","42 days, 14:55","No"
"Скл3 подмез столбы от Скл4_IME3122-ADGA611","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.60.254","Yes","Yes","42 days, 14:56","No"
"Скл3 подмез центр к бл2_IME3122-ADHCEA0","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.147","Yes","Yes","42 days, 14:55","No"
"Скл3 подмез центр к бл4_IME3122-ADHCE26","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.146","Yes","Yes","42 days, 14:55","No"
"Скл3 подмез_01_IM10LW10-1-ADGK540","OCS2_VNUKOVO NetworkVideoRecorder","OCS_VNUKOVO Recording Location/Склад 3","172.16.62.83","Yes","Yes","42 days, 14:56","No"
